Library_ID,Total_Reads_Start,rRNA_Reads,Percent_Non_rRNA,Reads_Into_Dedup,Unique_Keys,Collapsed,Percent_Duplicates,Reads_Into_Salmon,Frags_Mapped,Removed_Alignment,Decoys_Mapped,Mapping_Rate,Percent_Decoy,STAR_Input,STAR_Unique,Percent_STARvsSalmon,STAR_MultiMappers,Frags_Mapped_STAR,Mapping_Rate_STAR,Mapping_GT8,Mapping_Rate2,Percent_MMs,Avg_Frag_Length,Unmapped_Short,Percent_Unmapped_Short,Percent_Original_Reads_Used
NM2025_0067,78342533,1712501,97.81,76630032,36288023,40342009,52.65,36288023,13614778,14732119,12108496,37.52,33.37,36288023,6669596,48.99,4719708,11389304,31.39,15779019,74.87,56.49,30,8410286,23.18,17.38
NM2025_0068,64259837,1248238,98.06,63011599,19123104,43888495,69.65,19123104,7521426,9651765,8371812,39.33,43.78,19123104,3194214,42.47,2614739,5808953,30.38,10273926,84.10,67.40,30,2590234,13.55,11.70
NM2025_0069,49981167,912310,98.17,49068857,16873580,32195277,65.61,16873580,6437990,8018366,6837644,38.15,40.52,16873580,2372766,36.86,2835911,5208677,30.87,8360664,80.42,66.36,30,2953091,17.50,12.88
NM2025_0070,51259829,2343613,95.43,48916216,18548593,30367623,62.08,18548593,10623632,5222249,4038688,57.27,21.77,18548593,4556952,42.89,2873566,7430518,40.06,7416475,80.04,55.48,29,3305891,17.82,20.73
NM2025_0071,62961198,3593462,94.29,59367736,17748912,41618824,70.10,17748912,10906028,5985538,4765981,61.45,26.85,17748912,5058684,46.38,2952146,8010830,45.13,7879759,89.53,61.03,29,1428976,8.05,17.32
NM2025_0072,38194222,1627558,95.74,36566664,13816731,22749933,62.21,13816731,6587457,4197619,3187248,47.68,23.07,13816731,3432637,52.11,2040538,5473175,39.61,4917499,75.20,50.36,29,3045592,22.04,17.25
NM2025_0073,7632047,235389,96.92,7396658,5557490,1839168,24.86,5557490,3187071,1869285,1613795,57.35,29.04,5557490,1280802,40.19,1146285,2427087,43.67,2486636,88.42,65.37,28,571143,10.28,41.76
NM2025_0074,47505328,918628,98.07,46586700,15661425,30925275,66.38,15661425,8335048,5813120,4950926,53.22,31.61,15661425,3563540,42.75,2184764,5748304,36.70,7825519,86.67,63.92,29,1848326,11.80,17.55
NM2025_0075,60707610,714627,98.82,59992983,26662130,33330853,55.56,26662130,9283802,11549091,9595811,34.82,35.99,26662130,3798866,40.92,2793284,6592150,24.72,12789816,72.69,58.45,30,6678001,25.05,15.29
NM2025_0076,56959706,1467607,97.42,55492099,24366807,31125292,56.09,24366807,14123855,7331735,6044583,57.96,24.81,24366807,7129198,50.48,5653853,12783051,52.46,8116282,85.77,56.51,29,3111949,12.77,24.80
NM2025_0077,42794717,1133207,97.35,41661510,14956503,26705007,64.10,14956503,8774762,4401479,3448726,58.67,23.06,14956503,4356138,49.64,2979111,7335249,49.04,5339965,84.75,55.62,28,2030943,13.58,20.50
NM2025_0078,56666666,826684,98.54,55839982,31443847,24396135,43.69,31443847,18016833,10591865,8295441,57.30,26.38,31443847,8171827,45.36,5812146,13983973,44.47,12740412,84.99,59.00,30,4182900,13.30,31.79
NM2025_0079,72847649,10512488,85.57,62335161,31837643,30497518,48.93,31837643,15150978,13010876,10377987,47.59,32.60,31837643,6307452,41.63,5126581,11434033,35.91,14992857,83.01,63.19,30,4715810,14.81,20.80
NM2025_0080,55404890,4504177,91.87,50900713,17035462,33865251,66.53,17035462,9254268,6463260,5405365,54.32,31.73,17035462,3829114,41.38,2950719,6779833,39.80,8209409,87.99,65.51,29,1724697,10.12,16.70
NM2025_0081,45937644,1599513,96.52,44338131,22785743,21552388,48.61,22785743,12005877,7754730,6566162,52.69,28.82,22785743,4661751,38.83,3427055,8088806,35.50,11338703,85.26,64.80,28,3018805,13.25,26.14
NM2025_0082,64370643,2367378,96.32,62003265,22498912,39504353,63.71,22498912,11616448,6922430,5481392,51.63,24.36,22498912,5637264,48.53,4273890,9911154,44.05,8628799,82.40,57.35,28,3534175,15.71,18.05
NM2025_0083,34996350,2005814,94.27,32990536,10467751,22522785,68.27,10467751,6844012,2494480,1753697,65.38,16.75,10467751,2694947,39.38,1795004,4489951,42.89,4520117,86.07,60.33,27,1223897,11.69,19.56
NM2025_0084,56343390,1316774,97.66,55026616,23423740,31602876,57.43,23423740,16759435,4698073,3613992,71.55,15.43,23423740,3820868,22.80,4478473,8299341,35.43,12867198,90.36,74.05,25,1845976,7.88,29.75
NM2025_0103,40110029,833189,97.92,39276840,7344166,31932674,81.30,7344166,2749447,2781287,2145988,37.44,29.22,7344166,1328401,48.32,760498,2088899,28.44,2892655,67.83,49.74,30,2262949,30.81,6.85
NM2025_0104,71133291,1311438,98.16,69821853,27623750,42198103,60.44,27623750,8963423,16300941,14032289,32.45,50.80,27623750,3429150,38.26,3218266,6647416,24.06,16668458,84.41,71.99,31,3935147,14.25,12.60
NM2025_0105,80852084,1397197,98.27,79454887,36117886,43337001,54.54,36117886,14663495,15368312,11970132,40.60,33.14,36117886,5123260,34.94,4526620,9649880,26.72,17364019,74.79,60.61,31,8513560,23.57,18.14
NM2025_0106,85625163,3747130,95.62,81878033,30656365,51221668,62.56,30656365,7683367,15826730,12498873,25.06,40.77,30656365,3681533,47.92,2185553,5867086,19.14,15983234,71.27,59.27,31,8277625,27.00,8.97
NM2025_0107,51407,1667,96.76,49740,46971,2769,5.57,46971,10484,33645,28627,22.32,60.95,46971,3115,29.71,2966,6081,12.95,33347,83.94,77.31,32,6855,14.59,20.39
NM2025_0108,55676817,2502839,95.50,53173978,19424397,33749581,63.47,19424397,5372353,10580847,8707554,27.66,44.83,19424397,1908079,35.52,1486663,3394742,17.48,11087384,74.56,64.73,30,4641232,23.89,9.65
NM2025_0109,65453241,2550852,96.10,62902389,24752365,38150024,60.65,24752365,8846008,13637433,11730993,35.74,47.39,24752365,3382849,38.24,2509898,5892747,23.81,14867798,83.87,70.21,30,3433882,13.87,13.52
NM2025_0110,90978566,2373980,97.39,88604586,37909859,50694727,57.21,37909859,11864419,22718945,18689460,31.30,49.30,37909859,3184709,26.84,4158557,7343266,19.37,23588865,81.59,73.19,32,6342078,16.73,13.04
NM2025_0111,65573552,1582592,97.59,63990960,18272610,45718350,71.45,18272610,5178220,12010783,10536388,28.34,57.66,18272610,1600610,30.91,1823832,3424442,18.74,12450637,86.88,78.12,31,2004498,10.97,7.90
NM2025_0112,62017297,1503691,97.58,60513606,11140269,49373337,81.59,11140269,4505982,4889820,4024603,40.45,36.13,11140269,1688916,37.48,1364799,3053715,27.41,5750994,79.03,63.87,29,2107401,18.92,7.27
NM2025_0113,56305730,996866,98.23,55308864,14493729,40815135,73.79,14493729,4735445,8430352,7222529,32.67,49.83,14493729,1676311,35.40,1860586,3536897,24.40,8569118,83.53,71.96,30,2107494,14.54,8.41
NM2025_0114,68043728,1103843,98.38,66939885,18787605,48152280,71.93,18787605,5864043,5315166,3686592,31.21,19.62,18787605,5084986,86.71,1869094,6954080,37.01,5733354,67.53,40.47,28,5722307,30.46,8.62
NM2025_0115,80679190,2646314,96.72,78032876,32362394,45670482,58.53,32362394,9120258,18112265,15050426,28.18,46.51,32362394,3888256,42.63,2444803,6333059,19.57,19355472,79.38,67.36,30,6037880,18.66,11.30
NM2025_0116,79452055,2344412,97.05,77107643,35822761,41284882,53.54,35822761,10356223,21522090,18526380,28.91,51.72,35822761,2894304,27.95,2823722,5718026,15.96,23515141,81.61,73.53,31,6013759,16.79,13.03
NM2025_0117,75400838,2122260,97.19,73278578,34431232,38847346,53.01,34431232,7920507,22053482,17206259,23.00,49.97,34431232,2296865,29.00,2292824,4589689,13.33,20643994,73.29,66.62,32,8193443,23.80,10.50
NM2025_0118,57105951,3253286,94.30,53852665,13205429,40647236,75.48,13205429,7020702,4210553,3378764,53.17,25.59,13205429,2726393,38.83,1536190,4262583,32.28,6826884,83.98,63.33,27,1862738,14.11,12.29
NM2025_0119,49896938,1474062,97.05,48422876,8816510,39606366,81.79,8816510,5855344,1265807,768136,66.41,8.71,8816510,1552099,26.51,769779,2321878,26.34,5083819,84.00,66.39,24,1253494,14.22,11.73
NM2025_0120,74472189,1723010,97.69,72749179,18577175,54172004,74.46,18577175,15796930,2032971,1012552,85.03,5.45,18577175,1597129,10.11,1951222,3548351,19.10,13600105,92.31,83.71,22,1131921,6.09,21.21
