Library_ID,Total_Reads_Start,Reads_Into_Salmon,Frags_Mapped,Removed_Alignment,Decoys_Mapped,Mapping_Rate,Percent_Decoy,STAR_Input,STAR_Unique,Percent_STARvsSalmon,STAR_MultiMappers,Frags_Mapped_STAR,Mapping_Rate_STAR,Mapping_GT8,Mapping_Rate2,Percent_MMs,Avg_Frag_Length,Unmapped_Short,Percent_Unmapped_Short,Percent_Original_Reads_Used
NM2025_0085,61100274,61100274,43083188,15569496,14502566,70.51,23.74,61100274,34342657,79.71,22309425,56652082,92.72,216029,93.07,36.87,300,2842790,4.65,70.51
NM2025_0086,61567109,61567109,42886850,16140980,14626286,69.66,23.76,61567109,33440656,77.97,22686943,56127599,91.16,225403,91.53,37.22,300,3489664,5.67,69.66
NM2025_0087,59609187,59609187,41427247,15678219,14628605,69.50,24.54,59609187,33612049,81.14,21605098,55217147,92.63,226366,93.01,36.62,300,2784592,4.67,69.50
NM2025_0088,68477417,68477417,45173479,21023854,18788223,65.97,27.44,68477417,32574214,72.11,29224177,61798391,90.25,326414,90.72,43.15,300,4185405,6.11,65.97
NM2025_0089,64434434,64434434,45627595,16691313,15398555,70.81,23.90,64434434,35763761,78.38,23739582,59503343,92.35,259956,92.75,37.25,300,3154840,4.90,70.81
NM2025_0090,59398761,59398761,41499595,15935993,13134148,69.87,22.11,59398761,30963806,74.61,20664958,51628764,86.92,219368,87.29,35.16,300,5114254,8.61,69.87
NM2025_0091,58583002,58583002,40007385,16505796,15281922,68.29,26.09,58583002,29607993,74.01,24281299,53889292,91.99,250548,92.42,41.88,300,3019881,5.15,68.29
NM2025_0092,58630690,58630690,40090935,16567410,14799706,68.38,25.24,58630690,28738887,71.68,24221627,52960514,90.33,237879,90.73,41.72,300,3602428,6.14,68.38
NM2025_0093,56197095,56197095,38241194,16012626,15002016,68.05,26.70,56197095,28485103,74.49,23708687,52193790,92.88,247287,93.32,42.63,300,2475062,4.40,68.05
NM2025_0094,56364810,56364810,40179079,13696226,12367700,71.28,21.94,56364810,32914428,81.92,18932056,51846484,91.98,238853,92.41,34.01,300,2701111,4.79,71.28
