	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	0	4	3	0	3	1	1	2	0	1	1	0	1	1
A1BG-AS1	119	352	160	120	298	161	63	222	99	121	71	199	88	159
A1CF	2	2	1	1	2	0	8	5	5	2	0	0	3	1
A2M	0	0	1	1	0	0	0	0	0	0	0	0	0	1
A2M-AS1	1	3	0	0	0	0	1	0	1	0	0	0	0	0
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
A4GALT	283	527	346	289	526	285	150	455	315	321	249	611	389	391
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	1569	805	1352	1899	827	1474	2114	820	782	1429	2798	1188	1929	1703
AACS	1566	871	1254	1332	689	1408	2632	802	606	1653	2904	812	1273	1442
AACSP1	0	0	0	1	0	2	0	0	0	1	0	0	0	0
AADAC	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	6	3	1	8	1	3	10	2	0	4	8	4	3
AADAT	299	480	346	293	545	391	212	496	335	346	274	451	303	330
AAED1	832	2584	1305	846	2538	1302	429	2703	1116	1169	407	1674	757	1099
AAGAB	2214	1788	1745	2035	1685	1989	1580	1578	2939	1771	1401	1806	2386	1804
AAK1	1204	699	1059	760	655	1090	1549	672	753	1242	2145	446	861	1145
AAMDC	512	1043	534	577	571	431	247	860	776	520	174	666	310	381
AAMP	5302	1601	3825	6716	1494	3873	5150	1296	5365	3968	3691	3964	8274	4098
AANAT	0	2	3	3	6	0	0	3	0	2	1	1	2	0
AAR2	2625	1311	2044	3052	1321	2249	3054	1188	2174	2281	2798	2208	3736	2363
AARD	9	19	5	13	22	11	4	25	13	7	11	21	16	8
AARS	4543	2521	4819	3245	1801	4665	8218	2142	1627	6004	11169	2207	2668	5051
AARS2	415	519	409	362	559	469	463	438	269	510	852	587	608	632
AARSD1	28	38	22	28	28	31	27	26	34	39	29	42	43	41
AARSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AASDH	610	694	509	421	601	582	490	383	420	425	556	309	384	356
