#GeneID,Symbol,GeneInfo,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,casTLE p-value,Minimum Effect Estimate,Maximum Effect Estimate
ENSG00000066135,KDM4A,lysine (K)-specific demethylase 4A,10,-4.8,176,10,-3.5,226,-4.7,397,1.00E-05,-5.5,-4.1
ENSG00000054267,ARID4B,AT rich interactive domain 4B (RBP1-like),10,-3.7,172,10,-3.4,212,-3.7,383,1.00E-05,-4.3,-3.2
ENSG00000165609,NUDT5,nudix (nucleoside diphosphate linked moiety X)-type motif 5,10,-2.7,188,10,-2.8,176,-2.7,363,1.00E-05,-3.3,-2.4
ENSG00000119523,ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",10,-2.8,139,10,-3.3,225,-3.3,362,1.00E-05,-3.8,-2.5
ENSG00000164024,METAP1,methionyl aminopeptidase 1,9,-3.9,189,9,-2.7,145,-3.8,328,1.00E-05,-4.6,-2.8
ENSG00000153187,HNRNPU,heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A),10,-2.1,140,10,-2.5,178,-2.4,316,1.00E-05,-2.9,-2.1
ENSG00000115289,PCGF1,polycomb group ring finger 1,10,-3.9,160,10,-3.2,150,-3.8,307,1.00E-05,-4.4,-2.9
ENSG00000153922,CHD1,chromodomain helicase DNA binding protein 1,10,-2.8,168,10,-3.4,139,-3.2,304,1.00E-05,-3.9,-2.7
ENSG00000196199,MPHOSPH8,M-phase phosphoprotein 8,10,2.2,181,10,2.4,122,2.2,302,1.00E-05,2,2.8
ENSG00000075785,RAB7A,"RAB7A, member RAS oncogene family",10,-3,200,10,-2.7,88.4,-3,287,1.00E-05,-3.6,-2.7
ENSG00000130726,TRIM28,tripartite motif containing 28,10,-3.2,164,9,-2.6,116,-3,278,1.00E-05,-3.6,-2.3
ENSG00000133422,MORC2,MORC family CW-type zinc finger 2,10,2.4,147,10,2.7,131,2.6,278,1.00E-05,2.2,3
ENSG00000133895,MEN1,multiple endocrine neoplasia I,10,-3.8,133,10,-3.9,141,-3.9,273,1.00E-05,-4.5,-3.4
ENSG00000149923,PPP4C,"protein phosphatase 4, catalytic subunit",9,-2.8,121,9,-2.8,145,-2.8,265,1.00E-05,-3.4,-2.4
ENSG00000110497,AMBRA1,autophagy/beclin-1 regulator 1,10,-2.4,128,10,-2.3,134,-2.4,261,1.00E-05,-2.9,-2.1
ENSG00000132661,NXT1,nuclear transport factor 2-like export factor 1,10,-2.5,97.3,10,-2.1,163,-2.2,259,1.00E-05,-2.8,-1.8
ENSG00000154832,CXXC1,CXXC finger protein 1,10,-2.7,127,10,-2.7,125,-2.7,252,1.00E-05,-3.3,-2.4
ENSG00000185658,BRWD1,bromodomain and WD repeat domain containing 1,10,-2.1,121,10,-3.3,127,-2.5,243,1.00E-05,-3.6,-2.1
ENSG00000169045,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 (H),10,-2.7,87.2,10,-2.4,157,-2.5,243,1.00E-05,-3.2,-2.1
ENSG00000115652,UXS1,UDP-glucuronate decarboxylase 1,10,-2.6,95.8,10,-3.9,151,-3.9,242,1.00E-05,-4.7,-2.7
ENSG00000168710,AHCYL1,adenosylhomocysteinase-like 1,10,-3,93.6,10,-2.4,148,-2.6,239,1.00E-05,-3.3,-1.9
ENSG00000033011,ALG1,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase",10,-2.6,131,10,-3.6,110,-3.5,237,1.00E-05,-4.3,-3
ENSG00000117308,GALE,UDP-galactose-4-epimerase,10,-2.3,106,10,-3.1,127,-2.8,230,1.00E-05,-3.5,-2.2
ENSG00000122565,CBX3,chromobox homolog 3,10,-2.2,126,10,-3.2,104,-2,225,1.00E-05,-3.5,-1.9
ENSG00000100811,YY1,YY1 transcription factor,10,-2.5,119,10,-2.6,105,-2.5,224,1.00E-05,-3.1,-2.2
ENSG00000101557,USP14,ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase),10,-2.2,79.2,10,-2.3,146,-2.3,224,1.00E-05,-2.8,-2
ENSG00000198856,OSTC,oligosaccharyltransferase complex subunit (non-catalytic),10,-1.5,73,10,-2.1,147,-1.9,216,1.00E-05,-2.4,-1.6
ENSG00000173120,KDM2A,lysine (K)-specific demethylase 2A,10,-2.1,90.3,10,-2.4,124,-2.3,213,1.00E-05,-2.8,-1.9
ENSG00000143379,SETDB1,"SET domain, bifurcated 1",10,2.2,102,10,2,102,2.1,203,1.00E-05,1.8,2.6
ENSG00000170322,NFRKB,nuclear factor related to kappaB binding protein,10,-2.4,139,10,-1.7,63.9,-2.3,199,1.00E-05,-2.8,-1.9
ENSG00000102100,SLC35A2,"solute carrier family 35 (UDP-galactose transporter), member A2",10,-4,96.8,10,-4.1,102,-4.1,198,1.00E-05,-4.9,-3.7
ENSG00000128908,INO80,INO80 complex subunit,10,-2.4,98.4,10,-2.7,99.4,-2.6,197,1.00E-05,-3.2,-2.2
ENSG00000173540,GMPPB,GDP-mannose pyrophosphorylase B,10,-2.1,128,10,-1.9,69.5,-2.1,197,1.00E-05,-2.6,-1.8
ENSG00000163946,FAM208A,"family with sequence similarity 208, member A",10,2.5,115,10,2.3,81.9,2.6,196,1.00E-05,2.2,3.1
ENSG00000116750,UCHL5,ubiquitin carboxyl-terminal hydrolase L5,10,-1.9,72.2,10,-2.5,125,-2.4,195,1.00E-05,-2.9,-1.8
ENSG00000135655,USP15,ubiquitin specific peptidase 15,10,-2.6,84.6,10,-2.4,110,-2.5,194,1.00E-05,-3.1,-2
ENSG00000006831,ADIPOR2,adiponectin receptor 2,9,-2.7,89,10,-2.2,104,-2.6,191,1.00E-05,-3.2,-2.1
ENSG00000163479,SSR2,"signal sequence receptor, beta (translocon-associated protein beta)",10,-2.1,91,10,-3.2,105,-3.2,190,1.00E-05,-3.9,-2.6
ENSG00000156239,N6AMT1,N-6 adenine-specific DNA methyltransferase 1 (putative),10,-1.9,101,10,-1.8,84.7,-1.9,185,1.00E-05,-2.4,-1.7
ENSG00000134851,TMEM165,transmembrane protein 165,10,-3,76.9,10,-4.1,110,-4,183,1.00E-05,-4.9,-2.9
ENSG00000173575,CHD2,chromodomain helicase DNA binding protein 2,10,-2.3,77.1,10,-2.4,105,-2.4,181,1.00E-05,-2.9,-2.1
ENSG00000104142,VPS18,vacuolar protein sorting 18 homolog (S. cerevisiae),10,-3,121,10,-1.3,56.5,-1.5,170,1.00E-05,-3,-1.4
ENSG00000170340,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",10,-3.5,115,10,-3.6,49.3,-3.6,163,1.00E-05,-4.5,-3.1
ENSG00000077721,UBE2A,ubiquitin-conjugating enzyme E2A,10,-3.2,67.7,10,-4,96.6,-3.9,161,1.00E-05,-4.6,-2.9
ENSG00000203989,RHOXF2B,"Rhox homeobox family, member 2B",10,-2,102,10,-1.8,56.8,-1.9,158,1.00E-05,-2.5,-1.6
ENSG00000114933,INO80D,INO80 complex subunit D,10,-2.3,97,10,-2.7,62.1,-2.4,158,1.00E-05,-3.1,-1.8
ENSG00000204209,DAXX,death-domain associated protein,10,-1.8,47.4,10,-1.9,111,-1.9,157,1.00E-05,-2.3,-1.6
ENSG00000178982,EIF3K,"eukaryotic translation initiation factor 3, subunit K",10,-1.3,59.7,10,-1.8,99.8,-1.5,157,1.00E-05,-2,-1.3
ENSG00000066044,ELAVL1,ELAV like RNA binding protein 1,10,1,45.7,10,1.9,116,1.3,157,1.00E-05,1.1,2
ENSG00000142657,PGD,phosphogluconate dehydrogenase,9,-2.2,93.6,10,-2.3,62.2,-2.2,155,1.00E-05,-2.8,-1.9
ENSG00000143742,SRP9,signal recognition particle 9kDa,10,-1.7,63.9,10,-1.7,90,-1.7,154,1.00E-05,-2.2,-1.5
ENSG00000105939,ZC3HAV1,"zinc finger CCCH-type, antiviral 1",10,-2,99.9,10,-1.6,53.8,-1.8,152,1.00E-05,-2.3,-1.5
ENSG00000134910,STT3A,"STT3A, subunit of the oligosaccharyltransferase complex (catalytic)",10,-2.6,73.8,10,-2.4,78.9,-2.4,152,1.00E-05,-3,-2
ENSG00000075089,ACTR6,ARP6 actin-related protein 6 homolog (yeast),10,-2.6,91.7,10,-2.9,60.9,-2.8,152,1.00E-05,-3.9,-2.4
ENSG00000140307,GTF2A2,"general transcription factor IIA, 2, 12kDa",10,-3.1,78.8,10,-2.7,73.2,-2.9,151,1.00E-05,-3.7,-2.4
ENSG00000111237,VPS29,vacuolar protein sorting 29 homolog (S. cerevisiae),10,-2.1,71.2,10,-1.9,81.3,-2,151,1.00E-05,-2.5,-1.6
ENSG00000060339,CCAR1,cell division cycle and apoptosis regulator 1,9,1.6,59.9,9,1.6,90.8,1.6,150,1.00E-05,1.3,2.1
ENSG00000148835,TAF5,"TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa",10,-2.6,64.8,10,-1.8,87.6,-2.5,148,1.00E-05,-3.1,-2
ENSG00000129562,DAD1,defender against cell death 1,10,-3.1,82.7,10,-2.8,66.3,-3,148,1.00E-05,-4.1,-2.6
ENSG00000100883,SRP54,signal recognition particle 54kDa,10,-2.6,98.6,10,-2.9,50,-2.8,147,1.00E-05,-3.6,-2.2
ENSG00000172269,DPAGT1,dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase),10,-2.6,79.6,10,-2.3,67.7,-2.4,146,1.00E-05,-3.1,-2
ENSG00000120697,ALG5,"ALG5, dolichyl-phosphate beta-glucosyltransferase",10,-2.6,40,10,-3.1,106,-2.9,144,1.00E-05,-4.2,-2.4
ENSG00000132780,NASP,nuclear autoantigenic sperm protein (histone-binding),10,1.4,40.7,10,1.5,103,1.5,143,1.00E-05,1.3,1.9
ENSG00000077147,TM9SF3,transmembrane 9 superfamily member 3,10,1,46.7,10,1.2,98.5,1.1,143,1.00E-05,1,1.5
ENSG00000169084,DHRSX,dehydrogenase/reductase (SDR family) X-linked,10,-1.6,33.7,10,-2.6,114,-2.5,143,1.00E-05,-3.1,-1.8
ENSG00000101413,RPRD1B,regulation of nuclear pre-mRNA domain containing 1B,10,-3,44.3,10,-3.9,101,-3.8,142,1.00E-05,-4.7,-2.7
ENSG00000129691,ASH2L,"ash2 (absent, small, or homeotic)-like (Drosophila)",9,-3.5,74.5,9,-3.5,65.7,-3.5,140,1.00E-05,-4.8,-3
ENSG00000204569,PPP1R10,"protein phosphatase 1, regulatory subunit 10",10,1.8,95.5,10,1.8,42.8,1.8,138,1.00E-05,1.6,2.4
ENSG00000105619,TFPT,TCF3 (E2A) fusion partner (in childhood Leukemia),10,-3.2,65.8,10,-3.6,73.8,-3.5,138,1.00E-05,-4.3,-2.9
ENSG00000080603,SRCAP,Snf2-related CREBBP activator protein,10,-2.8,83.6,10,-1.9,55.9,-2.6,136,1.00E-05,-3.2,-1.8
ENSG00000157540,DYRK1A,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,9,-2.9,74.7,9,-2.3,63.3,-2.7,136,1.00E-05,-3.6,-2.2
ENSG00000140319,SRP14,signal recognition particle 14kDa (homologous Alu RNA binding protein),10,-2.8,88.1,10,-3.2,48.8,-3.1,136,1.00E-05,-4.7,-2.6
ENSG00000198563,DDX39B,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B,10,-1.4,77,8,-1.9,60.4,-1.7,135,1.00E-05,-2.3,-1.4
ENSG00000134825,TMEM258,transmembrane protein 258,10,-3.8,65.5,10,-2.9,70.7,-3.8,134,1.00E-05,-4.8,-2.7
ENSG00000134107,BHLHE40,"basic helix-loop-helix family, member e40",10,-1.8,74.3,10,-2.1,59.9,-1.9,133,1.00E-05,-2.5,-1.5
ENSG00000064995,TAF11,"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa",10,-3.4,69.6,10,-3.6,64.6,-3.6,133,1.00E-05,-5,-3.2
ENSG00000181090,EHMT1,euchromatic histone-lysine N-methyltransferase 1,10,-2.6,70.3,10,-3,63.9,-2.8,133,1.00E-05,-3.4,-2.2
ENSG00000067248,DHX29,DEAH (Asp-Glu-Ala-His) box polypeptide 29,9,1.5,46.9,9,1.8,85.8,1.6,132,1.00E-05,1.3,2.1
ENSG00000198730,CTR9,"CTR9, Paf1/RNA polymerase II complex component",8,-1.8,44.4,8,-3.2,91.6,-3,130,1.00E-05,-4.1,-2.4
ENSG00000197780,TAF13,"TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa",10,-3,81.7,10,-2.3,51.6,-2.9,130,1.00E-05,-3.6,-2
ENSG00000100888,CHD8,chromodomain helicase DNA binding protein 8,10,-3,71.1,10,-2.3,61.2,-2.3,129,1.00E-05,-3.3,-1.8
ENSG00000272305,RP11-894J14.5,N/A,10,-1.7,35.7,10,-2.2,91.2,-2.1,125,1.00E-05,-2.7,-1.6
ENSG00000183513,COA5,cytochrome c oxidase assembly factor 5,9,-2.3,90.8,9,-1.7,35.1,-2.3,124,1.00E-05,-3,-1.7
ENSG00000134283,PPHLN1,periphilin 1,10,1.8,80.5,10,1.8,42.8,1.8,123,1.00E-05,1.4,2.3
ENSG00000113272,THG1L,tRNA-histidine guanylyltransferase 1-like (S. cerevisiae),10,-2.7,67.2,10,-3,56.9,-2.9,123,1.00E-05,-3.7,-2.4
ENSG00000188566,NDOR1,NADPH dependent diflavin oxidoreductase 1,10,-1.5,62.3,10,-2.3,62.3,-1.7,122,1.00E-05,-2.5,-1.4
ENSG00000079134,THOC1,THO complex 1,10,-1.9,67.7,10,-1.8,54.5,-1.9,122,1.00E-05,-2.4,-1.6
ENSG00000101337,TM9SF4,transmembrane 9 superfamily protein member 4,10,1.1,53.5,10,1.2,68.3,1.1,121,1.00E-05,0.9,1.4
ENSG00000165494,PCF11,PCF11 cleavage and polyadenylation factor subunit,10,-1.9,75.1,9,-2.2,45.8,-2,120,1.00E-05,-2.6,-1.4
ENSG00000175283,DOLK,dolichol kinase,10,-2,73.2,10,-1.5,47.4,-1.6,119,1.00E-05,-2.2,-1.3
ENSG00000197903,HIST1H2BK,"histone cluster 1, H2bk",10,-1.5,32.9,10,-2.8,92.8,-2.7,118,1.00E-05,-3.4,-1.9
