Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
+,3.09222593,8.993766149,Q7Z478,Q7Z478,DHX29_HUMAN,DHX29
+,4.830758006,5.745763461,Q13439;Q13439-3;Q13439-4;Q13439-5,Q13439;Q13439-3;Q13439-4;Q13439-5,GOGA4_HUMAN,GOLGA4
+,3.351893484,4.955824852,Q99759;Q99759-2,Q99759;Q99759-2;Q9Y2U5,M3K3_HUMAN,MAP3K3
+,3.554703161,4.488182068,Q96EN8,Q96EN8,MOCOS_HUMAN,MOCOS
+,4.092648567,4.101445198,Q6AZZ1,Q6AZZ1;Q6AZZ1-2,TRI68_HUMAN,TRIM68
+,1.39166324,4.039691289,Q96K17,Q96K17;Q96K17-3,BT3L4_HUMAN,BTF3L4
+,4.443001933,3.798148791,Q86SZ2;Q86SZ2-2,Q86SZ2;Q86SZ2-2,TPC6B_HUMAN,TRAPPC6B
+,2.742911601,3.513709386,Q13625;Q13625-2;Q13625-3,Q13625;Q13625-2;Q13625-3,ASPP2_HUMAN,TP53BP2
+,4.255244098,3.489287059,Q99996;Q99996-1;Q99996-3;Q99996-5;Q99996-6,Q99996;Q99996-1;Q99996-3;Q99996-4;Q99996-5;Q99996-6,AKAP9_HUMAN,AKAP9
+,1.195775976,3.3534832,Q16890;Q16890-2;Q16890-3;Q16890-4;Q16890-5,Q16890;Q16890-2;Q16890-3;Q16890-4;Q16890-5,TPD53_HUMAN,TPD52L1
+,2.285162009,3.191206296,Q9H446;Q9H446-2,Q9H446;Q9H446-2,RWDD1_HUMAN,RWDD1
+,2.394152737,3.073661804,Q15642;Q15642-2;Q15642-3;Q15642-4,Q15642;Q15642-2;Q15642-3;Q15642-4;Q15642-5,CIP4_HUMAN,TRIP10
+,4.197020955,3.003946304,P55039,P55039,DRG2_HUMAN,DRG2
+,3.414712151,2.907215436,O43303;O43303-2,O43303;O43303-2,CP110_HUMAN,CCP110
+,2.794286287,2.803346316,Q15819,Q15819,UB2V2_HUMAN,UBE2V2
+,3.897182059,2.798548381,P61204;P84077,P61204;P84077,ARF1_HUMAN;ARF3_HUMAN,ARF1;ARF3
+,5.81029581,2.781996409,Q9BV40,Q9BV40,VAMP8_HUMAN,VAMP8
+,3.671388496,2.766722361,Q14789;Q14789-2;Q14789-3;Q14789-4,Q14789;Q14789-2;Q14789-3;Q14789-4,GOGB1_HUMAN,GOLGB1
+,1.097337519,2.747549693,Q5JTD0;Q5JTD0-2,Q5JTD0;Q5JTD0-2;Q5JTD0-4,TJAP1_HUMAN,TJAP1
+,1.283519308,2.72207133,O43414;O43414-2;O43414-3,O43414;O43414-2;O43414-3,ERI3_HUMAN,ERI3
+,2.818252027,2.715015729,P43405;P43405-2,P43405;P43405-2,KSYK_HUMAN,SYK
+,2.447035679,2.713261922,Q5TGZ0,Q5TGZ0,MIC10_HUMAN,MICOS10
+,1.631639987,2.629956881,Q9BQS8;Q9BQS8-4,Q9BQS8;Q9BQS8-2;Q9BQS8-3;Q9BQS8-4,FYCO1_HUMAN,FYCO1
+,2.388241948,2.621864955,Q92574;Q92574-2,Q92574;Q92574-2,TSC1_HUMAN,TSC1
+,1.065846932,2.487870534,Q7Z494,Q7Z494;Q7Z494-6,NPHP3_HUMAN,NPHP3
+,0.966754455,2.454198201,Q9BYT3;Q9BYT3-2,Q9BYT3;Q9BYT3-2,STK33_HUMAN,STK33
+,1.203465437,2.419860522,A0AVF1,A0AVF1;A0AVF1-2;A0AVF1-3,IFT56_HUMAN,TTC26
+,3.779590724,2.408671697,Q9UM00;Q9UM00-1;Q9UM00-2,Q9UM00;Q9UM00-1;Q9UM00-2,TMCO1_HUMAN,TMCO1
+,3.210255088,2.36197408,Q93063;Q93063-2;Q93063-3,Q93063;Q93063-2;Q93063-3,EXT2_HUMAN,EXT2
+,1.410078894,2.345445633,Q96A19,Q96A19,C102A_HUMAN,CCDC102A
+,1.128417666,2.309740384,Q8NFP7;Q96G61,Q8NFP7;Q96G61,NUD10_HUMAN;NUD11_HUMAN,NUDT10;NUDT11
+,2.177268311,2.306262016,Q5TH69,Q5TH69,BIG3_HUMAN,ARFGEF3
+,1.949679651,2.294274966,Q5EBL4;Q5EBL4-2,Q5EBL4;Q5EBL4-2,RIPL1_HUMAN,RILPL1
+,1.083849866,2.251987139,Q9ULQ0,Q9ULQ0,STRP2_HUMAN,STRIP2
+,1.119951422,2.234407107,P09972,P09972,ALDOC_HUMAN,ALDOC
+,2.567662545,2.211196264,P49917,P49917,DNLI4_HUMAN,LIG4
+,1.095845582,2.196608861,Q13432;Q13432-2,A6NIH7;Q13432;Q13432-2,U119A_HUMAN,UNC119
+,2.516250819,2.172945976,Q6NUI2;Q6NUI2-4;Q6NUI2-5,Q6NUI2;Q6NUI2-4;Q6NUI2-5,GPAT2_HUMAN,GPAT2
+,1.391575502,2.16601785,Q8IW35;Q8IW35-2,Q8IW35;Q8IW35-2,CEP97_HUMAN,CEP97
+,2.00312508,2.159164429,Q71UM5,Q71UM5,RS27L_HUMAN,RPS27L
+,2.607823331,2.145950635,Q13153;Q13153-2,Q13153;Q13153-2,PAK1_HUMAN,PAK1
+,4.489712444,2.117732366,O95714,O95714,HERC2_HUMAN,HERC2
+,2.703105337,2.09952418,Q96JN8;Q96JN8-2,Q96JN8;Q96JN8-2,NEUL4_HUMAN,NEURL4
+,0.865698001,2.094700495,Q9HD40,Q9HD40;Q9HD40-2,SPCS_HUMAN,SEPSECS
+,4.66225177,2.076646169,Q4V328,Q4V328;Q4V328-2;Q4V328-4,GRAP1_HUMAN,GRIPAP1
+,2.222663794,2.070949872,Q70CQ3,Q70CQ3,UBP30_HUMAN,USP30
+,2.558435128,2.064669291,Q9H993,Q9H993,ARMT1_HUMAN,ARMT1
+,1.22369358,2.055539449,Q9H892;Q9H892-2,Q9H892;Q9H892-2,TTC12_HUMAN,TTC12
+,3.349797663,2.055046082,Q8N4P2,Q8N4P2,TT30B_HUMAN,TTC30B
+,4.242651476,2.022618612,Q6NVY1,Q6NVY1,HIBCH_HUMAN,HIBCH
+,3.491265163,2.021764755,P09914;P09914-2,P09914;P09914-2,IFIT1_HUMAN,IFIT1
+,2.247000481,2.019797961,Q0JRZ9;Q0JRZ9-3,Q0JRZ9;Q0JRZ9-3,FCHO2_HUMAN,FCHO2
+,2.185135195,2.001229922,Q86X02,Q86X02,CDR2L_HUMAN,CDR2L
+,0.786751961,1.999869347,Q96SW2;Q96SW2-2,Q96SW2;Q96SW2-2,CRBN_HUMAN,CRBN
+,2.299921065,1.973262469,Q7Z6L1;Q7Z6L1-2;Q7Z6L1-4,Q7Z6L1;Q7Z6L1-2;Q7Z6L1-4,TCPR1_HUMAN,TECPR1
+,4.078868,1.964665095,Q5VU43;Q5VU43-13;Q5VU43-2;Q5VU43-3;Q5VU43-4;Q5VU43-6;Q5VU43-7,Q5VU43;Q5VU43-13;Q5VU43-2;Q5VU43-3;Q5VU43-4;Q5VU43-6;Q5VU43-7,MYOME_HUMAN,PDE4DIP
+,1.004864002,1.947184881,Q9P2H3;Q9P2H3-3,Q9P2H3;Q9P2H3-3,IFT80_HUMAN,IFT80
+,0.969635938,1.913529396,Q05193;Q05193-2;Q05193-3;Q05193-5,Q05193;Q05193-2;Q05193-3;Q05193-5,DYN1_HUMAN,DNM1
+,1.313511046,1.891502698,Q9BQG2,Q9BQG2;Q9BQG2-2,NUD12_HUMAN,NUDT12
+,1.422116044,1.853353818,Q96ED9;Q96ED9-2,Q96ED9;Q96ED9-2,HOOK2_HUMAN,HOOK2
+,1.920047304,1.815526962,Q8NDH6,Q05084;Q05084-2;Q05084-3;Q8NDH6,ICA1L_HUMAN,ICA1L
+,1.437156236,1.811783791,O95749,O95749,GGPPS_HUMAN,GGPS1
+,6.109403967,1.803859711,P42345,P42345,MTOR_HUMAN,MTOR
+,0.91658748,1.803424199,O75170;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6,O75170;O75170-2;O75170-3;O75170-4;O75170-5;O75170-6,PP6R2_HUMAN,PPP6R2
+,0.891045309,1.791605632,Q9H1H9;Q9H1H9-2;Q9H1H9-3;Q9H1H9-4,Q9H1H9;Q9H1H9-2;Q9H1H9-3;Q9H1H9-4,KI13A_HUMAN,KIF13A
+,1.994282595,1.766272863,O95613;O95613-2,O95613;O95613-2,PCNT_HUMAN,PCNT
+,1.259462775,1.758896828,Q13772;Q13772-3;Q13772-4,Q13772;Q13772-3;Q13772-4,NCOA4_HUMAN,NCOA4
+,2.22132014,1.749466578,Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4,Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4,VPS54_HUMAN,VPS54
