	HCC38-2	HCC1806-1	MDA-MD-453-2	MDA-MB-231-1	MCF7-2	ZR-75-2	MCF7-1	ZR-75-1	MDA-MB-231-2	MDA-MD-453-1	HCC38-1	HCC1806-2
RP5-857K21.9	0.015456512	0.012078678506636112	0.024273413099334826	0.017358413741006037	0.023211313593910675	0.0284362	0.018672253917320653	0.030854578628137484	0.01777038	0.021779004073052163	0.018982407196236402	0.012949581568080314
RP5-857K21.8	0.015588683416484929	0.010473187206069283	0.018017508512719004	0.014896506816530725	0.018375815056312982	0.025967368	0.013992658812385294	0.021477477	0.014775796503581075	0.016318210937045018	0.016668730309408835	0.011173943468995364
RP5-857K21.6	0.013054048726354139	0.010409042	0.012837260537074827	0.014873507964313358	0.013183068694401385	0.020429018	0.010295695681712838	0.019768388048860098	0.014707179674602075	0.010267785	0.013793703180709521	0.010529653726872206
RP5-857K21.7	0.014336917562724014	0.010594196222938737	0.014526845776071974	0.015232887413338541	0.013048845000881678	0.012768544791244426	0.009069438	0.018216871	0.015576019	0.013982006761790155	0.015514269297069528	0.013751127
RP5-857K21.14	0.021015761821366025	0.008778347	0.035629453681710214	0.007821901	0.015065913370998116	0.013089005235602094	0.005714286	0.013274336	0.008804109	0.002242152	0.006938422	0.012693935119887164
RP5-857K21.10	0.015753078	0.011848241963861814	0.014899583397397881	0.017236324165164286	0.012179160409462271	0.023501052	0.009666496	0.018819901535827046	0.015848976860493785	0.011812919986418301	0.016104064973529685	0.011115418476665953
RP11-206L10.9	0.011554621848739496	0.018825301	0.038938053	0.031361760660247595	0.024557957	0.021768707482993196	0.002659574	0.009195402	0.030828516377649325	0.06648103	0.043795620437956206	0.0175
RP11-206L10.8	0.002219263		0.000881834	0.006864989	0.001518987	0.000313676	1	0.00087604	0.001923077	0.000501756	0.001699235	0.001644737
NOC2L	0.004954552	0.004368524	0.003830439	0.009765862	0.003414045	0.002535146	0.008444234	0.004133957	0.006802339	0.005341727	0.004659314	0.00759593
PLEKHN1	0.00101626	0.004601227	0.002680965	0.007905138	0.001092896	0.00117096		0.001751313	0.009830206	0.001269036	0.004636785	0.008921933
HES4	0.004018265	0.011102886750555145	0.007662835	0.04	0.00661157	0.008134215	0.005619951	0.003658218	0.016858917	0.00610998	0.010368450286983891	0.005555556
ISG15	0.012855521124167766	0.003961517	0.015076429119843651	0.012998555716031552	0.008634772	0.017935432443204464	0.003575916	0.001672241	0.014274981217129978	0.006263511	0.010535837811951259	0.016334865
AGRN	0.058333333333333334	0.011389521640091117		0.05743073		0.067463706		0.016129032258064516	0.057475884	1	0.009009009	0.03006993
RP11-54O7.14	0.001309472	0.00722175	0.005610098	0.015217122355561054	0.000377786	0.000269324	0.000233046	0.000486618	0.010864778	0.000318573	0.00149494	0.005533597
RP11-465B22.3	0.005265005	0.008921933		0.029249012	0.007146047	0.019630484988452657	0.004436557	0.013390466	0.034685793812225675		0.005518764	0.012048192771084338
RNF223	0.00520156	0.015089163237311385	0.047619047619047616	0.036363636	0.040676329	0.00948732	0.034936381	0.042751982		0.002070393	0.00210084	0.013715711
SDF4	0.003670588	0.007087457	0.007051522	0.009573018	0.008079166	0.007263401	0.005988169	0.00325977	0.011324958227613095	0.00968104	0.005546437	0.006972443
B3GALT6	0.008317144	0.017652959	0.042306286549707604	0.029265367316341828	0.034129692832764506	0.005383814	0.026727181038830056	0.015286377708978328	0.029532403609515995	0.028391167192429023	0.014960021	0.022587481263244946
UBE2J2	0.009816339	0.029310656775827754	0.01886209	0.037681363572334134	0.031198324	0.012387814435596006	0.018315508021390373	0.010599415204678362	0.025121647617969898	0.024244833	0.01457753	0.020732187376984648
RP5-902P8.10	0.007109005	0.060109289617486336		0.055629139	0.009195402	0.008448541	0.015243902	0.007334963	0.044083527	0.021153846153846155	0.004115226	0.015267175572519083
PUSL1	0.012535255405828893	0.008179959	0.014207428455449563	0.014060446780551905	0.005555556	0.000670541	0.006334459	0.007816712	0.004427334	0.007584501	0.004201681	0.012431338537149466
INTS11	0.004933747	0.012337217	0.009277209	0.012502948808681292	0.000659776	0.001031637	0.001306848	0.000518672	0.013624841571609633	0.007458614	0.004373474	0.012295674815564877
CPTP	0.00103146	0.008230453	0.024378809	0.031164069660861594	0.014265335235378032	0.001259446	0.021115322144017325	0.022231543624161073	0.023665223665223667	0.020833333333333332	0.005181347	0.001602931
DVL1	0.00291094	0.014581124072110286	0.008397529	0.013858672004177182	0.014932885906040269	0.001743896	0.012716258254652623	0.001289344	0.012164948453608248	0.003646308	0.005817355	0.012982404258465178
AURKAIP1	0.005919932	0.007931739	0.012991892	0.007267594	0.008978355	0.003038835	0.006791569	0.006688665	0.008881313	0.008659476	0.005885927	0.005007001
CCNL2	0.024159086	0.027197802	0.045298716	0.044058544778357626	0.031060723714862556	0.013845424371740161	0.026641791	0.018072289156626505	0.041040674239648224	0.036262563	0.024808895066018067	0.028822416063199473
RP4-758J18.2	0.03568838	0.028997514	0.0666389	0.029121761063976154	0.044810417	0.016629712	0.024393986	0.035284139	0.033093838449814936	0.053707865	0.028735632183908046	0.037346970401363706
MRPL20	0.006338617	0.012824769652195568	0.010881892315169844	0.011915458443945273	0.009840786	0.010823079679847091	0.009809567	0.0051607	0.012963456245164073	0.013589107130009354	0.009439393	0.011102364619646891
RN7SL657P	1		1	0.040650407	0.005524862	0.001865672	0.004016064	1	0.033333333	0.00141844		1
VWA1	0.000304044	0.004969749	0.008543689	0.001046025	0.007978723	0.002138275	0.000785546	0.001827782	0.002541296	0.00464499	0.003064022	0.004736303
ATAD3A	0.005433668	0.004314289	0.00571577	0.008387854	0.013839056893900564	0.009072581	0.002369044	0.006896552	0.009532691	0.004638967	0.00426783	0.008444328
SSU72	0.007589274	0.007550507	0.009905003	0.011268661017926106	0.012109264995775838	0.007861562	0.010648199858520422	0.005931385	0.010777419990799763	0.012058483645681555	0.009083993	0.007295048
C1orf233	0.00065445	0.003550296	0.002006306	0.007067138	0.007290955	0.005014207	0.001010101	0.000339271	0.006784261	0.001230517	0.001007049	0.006248498
CDK11B	0.017124159	0.023421413864104325	0.0266988	0.034204525521838273	0.017115411	0.010501129868403562	0.015087783467446964	0.013483598309519017	0.031789764	0.018757327	0.019800652572296965	0.024692364
RP11-345P4.10	0.006578947				0.003846154		1					
CDK11A	0.018678161	0.036372007	0.021888412	0.043335469	0.023007739	0.011464417045208739	0.019697334	0.014247799972063137	0.043918624	0.018875292892475918	0.033022862	0.043846537
SLC35E2	0.004633688	0.016622778	0.015788005578800557	0.020358226485269647	0.014770567472169427	0.011952403820500506	0.011718545644781584	0.010439174968429915	0.027617373838814963	0.011844969	0.014026236125126134	0.011769352290679306
NADK	0.010520623371515658	0.020206129644697587	0.006740447	0.027969298816183166	0.016955708851782606	0.009443508	0.015677577240746407	0.00538365	0.024650084692876884	0.011494766973790142	0.017737515225334958	0.015829809
GNB1	0.00548318	0.010409854519334884	0.008258414	0.010321078479328494	0.009693792	0.006269218	0.008775338	0.005501321	0.012271313404008985	0.008230548	0.005235221	0.008479898
PRKCZ	0.005134588	0.008217446	0.015433403805496829	0.011477411477411478	0.018896447	0.017611228813559324	0.013375295043273014	0.007681102	0.010559006211180125	0.009178322	0.004510045	0.013989119573664928
