GENE	log2FoldChange	row	baseMean	lfcSE	stat	pvalue	padj
C15orf59	7.734942761645579	ENSG00000205363	523.2753715322849	0.3711975820012423	20.83780481527946	1.9665171597736414e-96	3.14465759019403e-92
STRIP1	2.6641754145322345	ENSG00000143093	1973.7493401847614	0.19286248767170874	13.813860054876011	2.1025625804376503e-43	1.6811039111889232e-39
MUC5AC	3.132988892212782	ENSG00000215182	2181.1225150212085	0.250868797168079	12.48855548230543	8.620458252967514e-36	4.594991597440117e-32
CTD-2623N2.3	4.323176054264606	ENSG00000267370	199.8132544991389	0.3577882122233519	12.08305893422177	1.2979939152577359e-33	5.189055174721614e-30
PAPPA2	-5.434525370064056	ENSG00000116183	110.43402878108235	0.4984865355812297	-10.90205047108737	1.126887533215205e-27	3.6040117087288686e-24
INHBB	2.9617957467802793	ENSG00000163083	244.29743430892057	0.2723137327762775	10.876409781410388	1.4932924102784835e-27	3.979873155460538e-24
RP11-87N24.3	5.5792183026530155	ENSG00000232035	150.7762035132047	0.5200664396783844	10.72789527834804	7.529151269739973e-27	1.7199808279201703e-23
FAM26E	4.614716636837418	ENSG00000178033	173.81250884708146	0.4414086458359835	10.454522539080786	1.3970062757440637e-25	2.7924409194279153e-22
MUC5B	3.5157366995116406	ENSG00000117983	129.10198347610296	0.38041932213864893	9.241740613349506	2.4251942623206648e-20	3.8781281448769747e-17
RP11-520F9.1	13.544152794182143	ENSG00000237849	1132.5703501893622	1.4644131213810436	9.248860582052872	2.2689843502897666e-20	3.8781281448769747e-17
RABL6	1.7208860016537588	ENSG00000196642	4023.429101144484	0.18852548313621947	9.128134685167888	6.968964410058978e-20	1.0130973625568465e-16
TULP3	1.6483492778535584	ENSG00000078246	963.4007988513504	0.18337922677743246	8.988745927335387	2.50067380534202e-19	3.33235623510202e-16
HR	3.485736466549924	ENSG00000168453	100.78523500187067	0.4042363018413925	8.623016910335776	6.5212821007727864e-18	8.021678621035203e-15
RP11-731C17.2	4.052093914614404	ENSG00000273486	84.33643177838333	0.4731795336880629	8.563544333863119	1.0944975614892852e-17	1.2501507504125115e-14
RBMS3	-2.370804526327213	ENSG00000144642	271.5238470333103	0.2832950985247558	-8.36867470942156	5.826986141466131e-17	6.21195569254566e-14
GUSBP3	-2.6150810452977096	ENSG00000253203	154.14292081957316	0.32716629274920345	-7.993124913092308	1.3156071004683089e-15	1.3148670714742955e-12
PRR9	7.171120934665848	ENSG00000203783	113.15322405292201	0.9189832261607377	7.803320812094518	6.029900175393016e-15	5.672007864982924e-12
MIR7641-1	4.84040611373943	ENSG00000280773	75.80146644543001	0.6394482055542496	7.569660954078287	3.741995669656537e-14	3.3243473751932045e-11
AADACL2	5.7438776242244725	ENSG00000197953	70.07686111688311	0.7789846328781079	7.373544203308114	1.6615056245393913e-13	1.3983756022110214e-10
KLF2	1.7670829766211398	ENSG00000127528	274.44166480589155	0.24540038418262264	7.200815852456481	5.985333694984404e-13	4.78557355582478e-10
ZNF253	-2.2042227096290343	ENSG00000256771	145.20924138660013	0.30940308520004256	-7.124113543353675	1.0475266487821403e-12	7.976666019369146e-10
CCND2	-2.1980899623104526	ENSG00000118971	376.54088661902944	0.320724728293196	-6.853509469032994	7.2059879675992394e-12	5.237770617721793e-9
ID1	1.490109657052277	ENSG00000125968	1176.177172009633	0.2183302867740269	6.825024961353845	8.791002862018304e-12	6.112040294197161e-9
FRMD3	1.4541839305590547	ENSG00000172159	414.3788000533395	0.22243422679990255	6.537590691324721	6.251773610251238e-11	4.165504658396981e-8
ADCYAP1	9.487160914279846	ENSG00000141433	68.1928704695716	1.4967445407817954	6.338530494538776	2.3196693322237888e-10	1.483753291663624e-7
SDC4	1.2324441471548195	ENSG00000124145	1621.0895050754614	0.20080592168914926	6.137489058030184	8.383599193755521e-10	5.156235950282483e-7
EPN1	1.1599677542149402	ENSG00000063245	6993.116820829885	0.19074768535717473	6.08116293543957	1.1931396861093824e-9	7.066480266879679e-7
ANK1	1.299855485132462	ENSG00000029534	505.5701409471666	0.21441875152239584	6.062228587301019	1.3424823013351404e-9	7.667012314517941e-7
RP11-64D22.1	8.862713207051996	ENSG00000242097	120.58443937260736	1.4740900510563195	6.01232821610936	1.8287758184371222e-9	1.0084122107802766e-6
