Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
A1BG,NA,NA,NA,NA,1.316413219
A4GALT,8.407482561,1.005013271,0.63066666,0.597754234,NA
AAAS,48.95874899,10.74466912,14.54741582,21.48719759,5.048059355
AACS,9.616657779,1.633236015,1.205560851,4.030465104,4.093788398
AADAT,4.574485128,0.539818155,0.219083382,3.464437298,2.185133354
AAED1,6.06140817,0.295478615,0.693055471,2.81022683,2.325567475
AAGAB,NA,5.318556812,16.21946168,75.43059856,7.990309753
AAK1,13.4859101,0.600583895,0.570213556,3.730607298,6.692057923
AAMDC,NA,289.5650597,NA,NA,18.00240348
AAMP,273.6834632,15.48517952,20.71038247,47.55900184,11.28304155
AAR2,7.834461755,1.480770493,1.716558305,15.65576838,2.078664756
AARS2,4.86483489,2.197159537,2.139460889,3.666415816,1.599454229
AARS,NA,1.369182361,2.211232555,14.71019457,19.49281472
AASDHPPT,6.505065752,0.258685273,0.821217149,8.632016607,1.548773363
AASDH,6.469211705,NA,NA,2.509419927,2.741826952
AASS,6.268129758,NA,0.35279261,1.590529989,3.673421926
AATK,NA,0.64683605,0.915906552,0.993479456,4.486698794
ABAT,NA,NA,1.848711315,NA,1.237900596
ABCA10,NA,NA,NA,NA,0.832465488
ABCA1,NA,NA,NA,0.90096482,NA
ABCA2,NA,7.267890406,5.286210952,3.593620698,16.36002005
ABCA3,28.61366337,4.125707373,4.29422995,6.494209757,3.979015061
ABCA5,10.21114789,NA,NA,1.115903147,8.034769421
ABCA7,79.01275344,2.680064284,2.102227184,2.998493288,4.41964924
ABCB10,4.49744089,NA,0.223492001,2.344997698,3.673364008
