Table S2. ORFeome mRNA stabilities from Pool 1 and 4,,,
,,,
All half-lives are in hours,,,
Pool 1 and 4: ORFeome mRNA stabilities,,,
DMSO: Pool 1 and 4 ORFeome mRNA stabilities in cells treated with DMSO,,,
4EGI-1 Pool 1 and 4 ORFeome mRNA stabilities in cells treated with 4EGI-1,,,
,,,
Gene.Name,Pool 1 and 4,DMSO,4EGI-1
A1BG,27.96953154,NA,NA
ABAT,35.8320392,6.816685745,NA
ABLIM2,3.725791826,3.149625761,2.364342491
ACMSD,10.21292269,NA,4.400870965
ACVRL1,11.37715846,NA,4.179812909
ADAM33,35.18798745,NA,4.859612249
ADAMTS15,11.23445891,17.07260316,2.674745749
ADAMTSL1,32.95424028,NA,7.304135817
ADIPOQ,NA,NA,13.21534597
AHSP,4.996674264,NA,22.96663115
AIFM3,6.058004001,NA,NA
AIPL1,14.20058453,NA,4.722932049
AKR7A3,3.020187571,4.258559914,2.834064198
ALDH3B1,NA,8.213735961,3.948002233
ALDH3B2,22.35656191,NA,5.518434861
ALG1,NA,NA,3.072130033
ALLC,NA,NA,5.348000951
ALOX15B,16.66644886,15.57813982,4.912524487
AMBN,NA,NA,54.35551368
AMIGO1,3.563264552,2.485916634,3.995603097
AMMECR1,NA,NA,2.528380764
AMPD3,4.024451467,3.323765775,4.756695824
ANGPT2,NA,NA,18.43737703
ANK1,5.004273991,2.586567236,3.482777829
ANKDD1A,140.4957783,17.10493796,13.22221916
ANKMY2,NA,5.534288812,NA
ANO4,12.87237652,NA,NA
ANTXR1,NA,NA,3.382545048
ANXA4,NA,8.226132136,NA
APLNR,NA,NA,4.382706439
APOA1,43.08946661,NA,8.227706306
AREG,6.659991002,NA,3.778995965
ARHGAP25,6.483601184,14.07224951,2.765839132
ARHGAP28,14.53186541,NA,NA
ARNTL,NA,3.392558523,NA
ARSF,45.33828198,5.267137264,4.973080888
ARSG,29.39193752,161.0116702,13.47642007
ARSI,NA,NA,8.829253727
ART3,NA,NA,1.718411586
ASB10,10.70713122,NA,3.470820156
ASGR2,11.1924806,NA,6.00491872
ASIC4,NA,NA,3.52643929
ASTL,NA,NA,9.58021336
ATP1A4,NA,NA,19.69183409
ATP4B,NA,NA,15.54943367
ATP6V1C2,11.62602034,9.070809957,4.392185491
B3GAT2,NA,NA,8.51090996
BATF,9.951321776,NA,4.510933898
BBOX1,93.34602169,NA,6.044399629
BCHE,NA,NA,2.41936458
BCL2L14,12.35240097,NA,NA
BCL2L15,8.210005411,NA,NA
BDKRB1,27.28601844,NA,3.327881251
BEST1,21.84134025,NA,3.937264922
BHMT2,13.72344262,9.601692872,2.733987376
BHMT,NA,NA,5.537002936
BIN2,NA,NA,10.04845343
BMP3,NA,NA,11.21203619
BMP4,NA,9.089540667,3.14818693
BMP5,99.69800362,NA,13.76730236
BMPR1B,NA,2.141822887,NA
