2683 mRNAs with a >2-fold increase in ribosome density between codons 25 and 75,,,,,,,,,,,,,,,
FC means fold change of si-eIF3e ratios si-control.,,,,,,,,,,,,,,,
"This list contains 9 window from codon 25 to75 from start codon, use 10 codons as a window to select the mRNAs with  >2-fold increase in ribosome density between codons 25 and 75.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reference mRNAs,
trans_id,gene_name,FC-codon(25_35),FC-codon(30_40),FC-codon(35_45),FC-codon(40_50),FC-codon(45_55),FC-codon(50_60),FC-codon(55_65),FC-codon(60_70),FC-codon(65_75),,,,gene_id,gene_name
ENST00000000233,ARF5,8.913043478,4.6,4.740740741,10.58823529,7.583333333,3.681818182,6,3.864864865,*,,,,ENSG00000003509,NDUFAF7
ENST00000000412,M6PR,*,2.049180328,*,*,3.2,3.125,5.4375,4.826086957,4.697674419,,,,ENSG00000048028,USP28
ENST00000001008,FKBP4,*,*,*,*,*,*,2.933333333,3.125,*,,,,ENSG00000006451,RALA
ENST00000002165,FUCA2,6.833333333,*,*,6.230769231,7.35,13.14285714,12.66666667,*,*,,,,ENSG00000006453,BAIAP2L1
ENST00000002596,HS3ST1,*,*,*,*,*,4.5,*,*,*,,,,ENSG00000004975,DVL2
ENST00000002829,SEMA3F,*,*,*,*,3.375,*,*,6.133333333,*,,,,ENSG00000005175,RPAP3
ENST00000003100,CYP51A1,*,*,*,*,2.408450704,2.625,2.657894737,3.161290323,4.916666667,,,,ENSG00000007520,TSR3
ENST00000003912,NIPAL3,7.333333333,2.714285714,*,*,*,*,*,*,*,,,,ENSG00000006025,OSBPL7
ENST00000005286,TMEM132A,*,*,*,3,*,*,*,*,*,,,,ENSG00000010270,STARD3NL
ENST00000011898,TSPAN9,5.357142857,*,*,*,*,*,*,*,*,,,,ENSG00000010017,RANBP9
ENST00000012049,QPCTL,18.33333333,5.6,*,5.333333333,4.666666667,*,*,*,*,,,,ENSG00000011485,PPP5C
ENST00000017003,XYLT2,*,3.5,*,*,*,*,3,3.666666667,*,,,,ENSG00000012963,UBR7
ENST00000019019,FTSJ1,*,6,6,*,*,*,*,*,*,,,,ENSG00000012983,MAP4K5
ENST00000025301,AKAP11,*,*,4.666666667,*,*,*,*,*,6.5,,,,ENSG00000013588,GPRC5A
ENST00000029410,B4GALT7,*,*,*,*,*,3.5,*,*,*,,,,ENSG00000017797,RALBP1
ENST00000031146,SLC39A9,3.666666667,4.333333333,*,*,*,*,*,6,*,,,,ENSG00000078668,VDAC3
ENST00000035307,CHPF2,*,*,3.5,*,*,*,*,*,*,,,,ENSG00000023287,RB1CC1
ENST00000039989,TTC17,*,7.666666667,5.857142857,4.777777778,*,*,*,3.333333333,2.111111111,,,,ENSG00000035681,NSMAF
ENST00000044462,PSMA4,*,*,*,3.5,*,2.5,*,*,*,,,,ENSG00000038219,BOD1L1
ENST00000052754,DCN,*,*,*,*,*,*,*,2.666666667,*,,,,ENSG00000059588,TARBP1
