ENSG00000186092,ENST00000641515,OR4F5
ENSG00000284733,ENST00000426406,OR4F29
ENSG00000284662,ENST00000332831,OR4F16
ENSG00000187634,ENST00000616016,SAMD11
ENSG00000188976,ENST00000327044,NOC2L
ENSG00000187961,ENST00000338591,KLHL17
ENSG00000187583,ENST00000379410,PLEKHN1
ENSG00000187642,ENST00000433179,PERM1
ENSG00000188290,ENST00000304952,HES4
ENSG00000187608,ENST00000649529,ISG15
ENSG00000188157,ENST00000379370,AGRN
ENSG00000237330,ENST00000453464,RNF223
ENSG00000131591,ENST00000421241,C1orf159
ENSG00000162571,ENST00000379289,TTLL10
ENSG00000186891,ENST00000379268,TNFRSF18
ENSG00000186827,ENST00000379236,TNFRSF4
ENSG00000078808,ENST00000360001,SDF4
ENSG00000176022,ENST00000379198,B3GALT6
ENSG00000184163,ENST00000330388,C1QTNF12
ENSG00000160087,ENST00000349431,UBE2J2
ENSG00000162572,ENST00000379116,SCNN1D
ENSG00000131584,ENST00000354700,ACAP3
ENSG00000169972,ENST00000379031,PUSL1
ENSG00000127054,ENST00000435064,INTS11
ENSG00000224051,ENST00000343938,CPTP
ENSG00000169962,ENST00000339381,TAS1R3
ENSG00000107404,ENST00000378888,DVL1
ENSG00000162576,ENST00000309212,MXRA8
ENSG00000175756,ENST00000338338,AURKAIP1
ENSG00000221978,ENST00000400809,CCNL2
ENSG00000242485,ENST00000344843,MRPL20
ENSG00000235098,ENST00000537107,ANKRD65
ENSG00000205116,ENST00000378821,TMEM88B
ENSG00000179403,ENST00000476993,VWA1
ENSG00000215915,ENST00000378785,ATAD3C
ENSG00000160072,ENST00000673477,ATAD3B
ENSG00000197785,ENST00000378756,ATAD3A
ENSG00000205090,ENST00000378733,TMEM240
ENSG00000160075,ENST00000291386,SSU72
ENSG00000228594,ENST00000422725,FNDC10
ENSG00000197530,ENST00000355826,MIB2
ENSG00000189409,ENST00000356026,MMP23B
ENSG00000248333,ENST00000341832,CDK11B
ENSG00000189339,ENST00000617444,SLC35E2B
ENSG00000008128,ENST00000404249,CDK11A
ENSG00000008130,ENST00000341426,NADK
ENSG00000078369,ENST00000378609,GNB1
ENSG00000169885,ENST00000307786,CALML6
ENSG00000178821,ENST00000310991,TMEM52
ENSG00000142609,ENST00000682832,CFAP74
ENSG00000187730,ENST00000378585,GABRD
ENSG00000067606,ENST00000378567,PRKCZ
ENSG00000162585,ENST00000378546,FAAP20
ENSG00000157933,ENST00000378536,SKI
ENSG00000116151,ENST00000378531,MORN1
ENSG00000157916,ENST00000605895,RER1
ENSG00000157911,ENST00000447513,PEX10
ENSG00000149527,ENST00000378486,PLCH2
ENSG00000157881,ENST00000378466,PANK4
ENSG00000197921,ENST00000378453,HES5
ENSG00000157873,ENST00000355716,TNFRSF14
ENSG00000157870,ENST00000419916,PRXL2B
ENSG00000142606,ENST00000378412,MMEL1
ENSG00000215912,ENST00000401095,TTC34
ENSG00000169717,ENST00000378404,ACTRT2
ENSG00000142611,ENST00000270722,PRDM16
ENSG00000130762,ENST00000378378,ARHGEF16
ENSG00000162591,ENST00000356575,MEGF6
ENSG00000158109,ENST00000378344,TPRG1L
ENSG00000116213,ENST00000270708,WRAP73
ENSG00000078900,ENST00000378295,TP73
ENSG00000162592,ENST00000294600,CCDC27
ENSG00000235169,ENST00000642557,SMIM1
ENSG00000130764,ENST00000378251,LRRC47
ENSG00000116198,ENST00000378230,CEP104
ENSG00000169598,ENST00000378209,DFFB
ENSG00000198912,ENST00000361605,C1orf174
ENSG00000196581,ENST00000378191,AJAP1
ENSG00000131697,ENST00000378156,NPHP4
ENSG00000069424,ENST00000378083,KCNAB2
ENSG00000116254,ENST00000262450,CHD5
ENSG00000116251,ENST00000234875,RPL22
ENSG00000158286,ENST00000377939,RNF207
ENSG00000116237,ENST00000343813,ICMT
ENSG00000173673,ENST00000377898,HES3
ENSG00000158292,ENST00000377893,GPR153
ENSG00000097021,ENST00000361521,ACOT7
ENSG00000069812,ENST00000377834,HES2
ENSG00000187017,ENST00000645284,ESPN
ENSG00000215788,ENST00000356876,TNFRSF25
ENSG00000171680,ENST00000377728,PLEKHG5
ENSG00000162408,ENST00000377705,NOL9
ENSG00000173662,ENST00000333172,TAS1R1
ENSG00000204859,ENST00000377674,ZBTB48
ENSG00000162413,ENST00000377658,KLHL21
ENSG00000116273,ENST00000377648,PHF13
ENSG00000041988,ENST00000054650,THAP3
ENSG00000007923,ENST00000377577,DNAJC11
ENSG00000171735,ENST00000303635,CAMTA1
ENSG00000049245,ENST00000054666,VAMP3
ENSG00000049246,ENST00000377532,PER3
ENSG00000049247,ENST00000361696,UTS2
ENSG00000049249,ENST00000377507,TNFRSF9
ENSG00000116288,ENST00000338639,PARK7
ENSG00000116285,ENST00000377482,ERRFI1
ENSG00000162426,ENST00000471889,SLC45A1
ENSG00000142599,ENST00000400908,RERE
ENSG00000074800,ENST00000234590,ENO1
ENSG00000131686,ENST00000377443,CA6
ENSG00000197241,ENST00000400906,SLC2A7
ENSG00000142583,ENST00000377424,SLC2A5
ENSG00000180758,ENST00000377411,GPR157
ENSG00000049239,ENST00000377403,H6PD
ENSG00000171621,ENST00000328089,SPSB1
ENSG00000171612,ENST00000302692,SLC25A33
ENSG00000188807,ENST00000340381,TMEM201
ENSG00000171608,ENST00000377346,PIK3CD
ENSG00000171603,ENST00000377298,CLSTN1
ENSG00000178585,ENST00000377263,CTNNBIP1
ENSG00000162441,ENST00000377223,LZIC
ENSG00000173614,ENST00000377205,NMNAT1
ENSG00000162444,ENST00000294435,RBP7
ENSG00000130939,ENST00000343090,UBE4B
ENSG00000054523,ENST00000676179,KIF1B
ENSG00000142657,ENST00000270776,PGD
ENSG00000175279,ENST00000309048,CENPS
ENSG00000241563,ENST00000377049,CORT
ENSG00000160049,ENST00000377038,DFFA
ENSG00000142655,ENST00000356607,PEX14
ENSG00000130940,ENST00000377022,CASZ1
ENSG00000175262,ENST00000377004,CIROZ
ENSG00000120948,ENST00000240185,TARDBP
ENSG00000009724,ENST00000400897,MASP2
ENSG00000116649,ENST00000376957,SRM
ENSG00000171824,ENST00000376936,EXOSC10
ENSG00000198793,ENST00000361445,MTOR
ENSG00000171819,ENST00000376819,ANGPTL7
ENSG00000120942,ENST00000376810,UBIAD1
ENSG00000204624,ENST00000294484,DISP3
ENSG00000116661,ENST00000354287,FBXO2
ENSG00000132879,ENST00000251547,FBXO44
ENSG00000116670,ENST00000376692,MAD2L2
ENSG00000116663,ENST00000376753,FBXO6
ENSG00000162490,ENST00000294485,DRAXIN
ENSG00000177674,ENST00000314340,AGTRAP
ENSG00000215910,ENST00000688073,C1orf167
ENSG00000177000,ENST00000376590,MTHFR
ENSG00000011021,ENST00000346436,CLCN6
ENSG00000175206,ENST00000376480,NPPA
ENSG00000120937,ENST00000376468,NPPB
ENSG00000116685,ENST00000376572,KIAA2013
ENSG00000083444,ENST00000196061,PLOD1
ENSG00000116688,ENST00000235329,MFN2
ENSG00000116691,ENST00000235332,MIIP
ENSG00000120949,ENST00000263932,TNFRSF8
ENSG00000028137,ENST00000376259,TNFRSF1B
ENSG00000048707,ENST00000620676,VPS13D
ENSG00000162496,ENST00000616661,DHRS3
ENSG00000204518,ENST00000376221,AADACL4
ENSG00000188984,ENST00000359318,AADACL3
ENSG00000157330,ENST00000614859,CFAP107
ENSG00000116726,ENST00000357726,PRAMEF12
ENSG00000116721,ENST00000332296,PRAMEF1
ENSG00000239810,ENST00000619922,PRAMEF11
ENSG00000179172,ENST00000317869,HNRNPCL1
ENSG00000120952,ENST00000240189,PRAMEF2
ENSG00000243073,ENST00000235349,PRAMEF4
ENSG00000187545,ENST00000235347,PRAMEF10
ENSG00000204510,ENST00000697200,PRAMEF7
