id,type,rep,treatment,condition,hours
NM2025_0067,RiboSeq,RepA,siCTRL,normoxia,1
NM2025_0068,RiboSeq,RepB,siCTRL,normoxia,1
NM2025_0069,RiboSeq,RepC,siCTRL,normoxia,1
NM2025_0070,RiboSeq,RepA,si3e,normoxia,1
NM2025_0071,RiboSeq,RepB,si3e,normoxia,1
NM2025_0072,RiboSeq,RepC,si3e,normoxia,1
NM2025_0073,RiboSeq,RepA,si3d,normoxia,1
NM2025_0074,RiboSeq,RepB,si3d,normoxia,1
NM2025_0075,RiboSeq,RepC,si3d,normoxia,1
NM2025_0076,RiboSeq,RepA,siCTRL,hypoxia,1
NM2025_0077,RiboSeq,RepB,siCTRL,hypoxia,1
NM2025_0078,RiboSeq,RepC,siCTRL,hypoxia,1
NM2025_0079,RiboSeq,RepA,si3e,hypoxia,1
NM2025_0080,RiboSeq,RepB,si3e,hypoxia,1
NM2025_0081,RiboSeq,RepC,si3e,hypoxia,1
NM2025_0082,RiboSeq,RepA,si3d,hypoxia,1
NM2025_0083,RiboSeq,RepB,si3d,hypoxia,1
NM2025_0084,RiboSeq,RepC,si3d,hypoxia,1
NM2025_0085,Input_Ribo_RNAseq,RepA,siCTRL,normoxia,1
NM2025_0086,Input_Ribo_RNAseq,RepB,siCTRL,normoxia,1
NM2025_0087,Input_Ribo_RNAseq,RepC,siCTRL,normoxia,1
NM2025_0088,Input_Ribo_RNAseq,RepA,si3e,normoxia,1
NM2025_0089,Input_Ribo_RNAseq,RepB,si3e,normoxia,1
NM2025_0090,Input_Ribo_RNAseq,RepC,si3e,normoxia,1
NM2025_0091,Input_Ribo_RNAseq,RepA,si3d,normoxia,1
NM2025_0092,Input_Ribo_RNAseq,RepB,si3d,normoxia,1
NM2025_0093,Input_Ribo_RNAseq,RepC,si3d,normoxia,1
NM2025_0094,Input_Ribo_RNAseq,RepA,siCTRL,hypoxia,1
NM2025_0095,Input_Ribo_RNAseq,RepB,siCTRL,hypoxia,1
NM2025_0096,Input_Ribo_RNAseq,RepC,siCTRL,hypoxia,1
NM2025_0097,Input_Ribo_RNAseq,RepA,si3e,hypoxia,1
NM2025_0098,Input_Ribo_RNAseq,RepB,si3e,hypoxia,1
NM2025_0099,Input_Ribo_RNAseq,RepC,si3e,hypoxia,1
NM2025_0100,Input_Ribo_RNAseq,RepA,si3d,hypoxia,1
NM2025_0101,Input_Ribo_RNAseq,RepB,si3d,hypoxia,1
NM2025_0102,Input_Ribo_RNAseq,RepC,si3d,hypoxia,1
NM2025_0103,RiboSeq,RepA,siCTRL,normoxia,4
NM2025_0104,RiboSeq,RepB,siCTRL,normoxia,4
NM2025_0105,RiboSeq,RepC,siCTRL,normoxia,4
NM2025_0106,RiboSeq,RepA,si3e,normoxia,4
NM2025_0107,RiboSeq,RepB,si3e,normoxia,4
NM2025_0108,RiboSeq,RepC,si3e,normoxia,4
NM2025_0109,RiboSeq,RepA,si3d,normoxia,4
NM2025_0110,RiboSeq,RepB,si3d,normoxia,4
NM2025_0111,RiboSeq,RepC,si3d,normoxia,4
NM2025_0112,RiboSeq,RepA,siCTRL,hypoxia,4
NM2025_0113,RiboSeq,RepB,siCTRL,hypoxia,4
NM2025_0114,RiboSeq,RepC,siCTRL,hypoxia,4
NM2025_0115,RiboSeq,RepA,si3e,hypoxia,4
NM2025_0116,RiboSeq,RepB,si3e,hypoxia,4
NM2025_0117,RiboSeq,RepC,si3e,hypoxia,4
NM2025_0118,RiboSeq,RepA,si3d,hypoxia,4
NM2025_0119,RiboSeq,RepB,si3d,hypoxia,4
NM2025_0120,RiboSeq,RepC,si3d,hypoxia,4
NM2025_0121,RiboSeq,RepA,siCTRL,normoxia,24
NM2025_0122,RiboSeq,RepB,siCTRL,normoxia,24
NM2025_0123,RiboSeq,RepC,siCTRL,normoxia,24
NM2025_0124,RiboSeq,RepA,si3e,normoxia,24
NM2025_0125,RiboSeq,RepB,si3e,normoxia,24
NM2025_0126,RiboSeq,RepC,si3e,normoxia,24
NM2025_0127,RiboSeq,RepA,si3d,normoxia,24
NM2025_0128,RiboSeq,RepB,si3d,normoxia,24
NM2025_0129,RiboSeq,RepC,si3d,normoxia,24
NM2025_0130,RiboSeq,RepA,siCTRL,hypoxia,24
NM2025_0131,RiboSeq,RepB,siCTRL,hypoxia,24
NM2025_0132,RiboSeq,RepC,siCTRL,hypoxia,24
NM2025_0133,RiboSeq,RepA,si3e,hypoxia,24
NM2025_0134,RiboSeq,RepB,si3e,hypoxia,24
NM2025_0135,RiboSeq,RepC,si3e,hypoxia,24
NM2025_0136,RiboSeq,RepA,si3d,hypoxia,24
NM2025_0137,RiboSeq,RepB,si3d,hypoxia,24
NM2025_0138,RiboSeq,RepC,si3d,hypoxia,24
NM2025_0151,Input_Ribo_RNAseq,RepA,siCTRL,normoxia,4
NM2025_0152,Input_Ribo_RNAseq,RepB,siCTRL,normoxia,4
NM2025_0153,Input_Ribo_RNAseq,RepC,siCTRL,normoxia,4
NM2025_0154,Input_Ribo_RNAseq,RepA,si3e,normoxia,4
NM2025_0155,Input_Ribo_RNAseq,RepB,si3e,normoxia,4
NM2025_0156,Input_Ribo_RNAseq,RepC,si3e,normoxia,4
NM2025_0157,Input_Ribo_RNAseq,RepA,si3d,normoxia,4
NM2025_0158,Input_Ribo_RNAseq,RepB,si3d,normoxia,4
NM2025_0159,Input_Ribo_RNAseq,RepC,si3d,normoxia,4
NM2025_0160,Input_Ribo_RNAseq,RepA,siCTRL,hypoxia,4
NM2025_0161,Input_Ribo_RNAseq,RepB,siCTRL,hypoxia,4
NM2025_0162,Input_Ribo_RNAseq,RepC,siCTRL,hypoxia,4
NM2025_0163,Input_Ribo_RNAseq,RepA,si3e,hypoxia,4
NM2025_0164,Input_Ribo_RNAseq,RepB,si3e,hypoxia,4
NM2025_0165,Input_Ribo_RNAseq,RepC,si3e,hypoxia,4
NM2025_0166,Input_Ribo_RNAseq,RepA,si3d,hypoxia,4
NM2025_0167,Input_Ribo_RNAseq,RepB,si3d,hypoxia,4
NM2025_0168,Input_Ribo_RNAseq,RepC,si3d,hypoxia,4
NM2025_0169,Input_Ribo_RNAseq,RepA,siCTRL,normoxia,24
NM2025_0170,Input_Ribo_RNAseq,RepB,siCTRL,normoxia,24
NM2025_0171,Input_Ribo_RNAseq,RepC,siCTRL,normoxia,24
NM2025_0172,Input_Ribo_RNAseq,RepA,si3e,normoxia,24
NM2025_0173,Input_Ribo_RNAseq,RepB,si3e,normoxia,24
NM2025_0174,Input_Ribo_RNAseq,RepC,si3e,normoxia,24
NM2025_0175,Input_Ribo_RNAseq,RepA,si3d,normoxia,24
NM2025_0176,Input_Ribo_RNAseq,RepB,si3d,normoxia,24
NM2025_0177,Input_Ribo_RNAseq,RepC,si3d,normoxia,24
NM2025_0178,Input_Ribo_RNAseq,RepA,siCTRL,hypoxia,24
NM2025_0179,Input_Ribo_RNAseq,RepB,siCTRL,hypoxia,24
NM2025_0180,Input_Ribo_RNAseq,RepC,siCTRL,hypoxia,24
NM2025_0181,Input_Ribo_RNAseq,RepA,si3e,hypoxia,24
NM2025_0182,Input_Ribo_RNAseq,RepB,si3e,hypoxia,24
NM2025_0183,Input_Ribo_RNAseq,RepC,si3e,hypoxia,24
NM2025_0184,Input_Ribo_RNAseq,RepA,si3d,hypoxia,24
NM2025_0185,Input_Ribo_RNAseq,RepB,si3d,hypoxia,24
NM2025_0186,Input_Ribo_RNAseq,RepC,si3d,hypoxia,24
