db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
A1BG,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AAAS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AAMP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AARSD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ABCF2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ABI2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ABLIM3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ABT1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACAT2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACOT7,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACTR1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACTR1B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACTR3B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACY1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACYP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ACYP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ADA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ADI1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ADIPOR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AGPS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AHCY,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AHSA1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AIP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AK1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AK2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AKR1A1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AKR7A2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AKT1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALDH1B1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALDOA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALDOC,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALKBH2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALKBH3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALKBH4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ALKBH5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AMZ2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANAPC11,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANAPC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANAPC5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANKHD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANKRD13B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANTXR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ANXA6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AP1M1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AP2M1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AP2S1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
APEH,NA,eIF4E activated translation,PMID 41102449,homo sapiens
APEX1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
APEX2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
APOD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
APRT,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARAF,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARF3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARF4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARF5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARFGAP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARFIP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARFRP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARHGDIA,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARHGDIB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARHGEF18,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARIH1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARIH2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARL2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARL2BP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARL6IP4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARMC6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARMCX3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARNTL2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARPC1A,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARPC1B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARPC4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARPC5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARPC5L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARRDC1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARRDC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ARTN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ASB1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ASB6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ASCC2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ASL,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ASPHD1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATG12,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATG4B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATG4D,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATOX1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATP6V0C,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATP6V1B2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATP6V1E1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATP6V1F,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATRN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AURKAIP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AVEN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
B3GALT4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
B3GNT3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAK1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAMBI,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BANF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BBC3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCAS4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
