gene,rank,lfc_1hr
SCAMP3,14,2.057338626991372
CENPBD1P,19,1.5174612096392552
MAFF,168,0.4695197370209793
COX7A2,261,0.3013730853871732
TIMP3,263,0.3003454555401617
FADD,264,0.3000161308974931
YIPF2,317,0.2612816811641384
MAP3K13,333,0.25197329969929533
PIMREG,373,0.2356254126176139
RPL30,415,0.21772636291452477
SIX2,422,0.21473962644735925
GPR68,423,0.21417076242022892
CDK2AP2,470,0.19909494625685883
EPDR1,495,0.19045873983343217
MARK2,504,0.1881461326912915
MPC1,517,0.18452132317011213
YWHAH,523,0.18235492014276772
AP3S1,540,0.17765155262083432
S100A16,695,0.1488207710556498
TRAPPC1,696,0.14878659792742102
