gene,rank,lfc_1hr
NAP1L4,15,1.831759578860188
POMZP3,17,1.745604402981952
HDHD2,25,1.3838304776498809
ERI1,29,1.2980107361732451
LPCAT4,78,0.7974029782327168
FAM225B,198,0.38470038911559806
RPS16,243,0.3181412983025332
DYNLT2B,282,0.2874134297178732
NUDT4P2,306,0.26883383312511744
TMEM126A,324,0.2559013155481768
ZSWIM4,349,0.2430365334716116
XAGE1B,367,0.238083694870576
GPRC5A,412,0.21817676762658872
RPL30,415,0.21772636291452477
GTF2IRD2,427,0.2140227562005824
FAM3C2P,428,0.21334737347026383
TMEM276,440,0.20819128482940336
COX17,448,0.20479704076073177
PRKACA,502,0.18831630040137765
PSENEN,514,0.1850602182551686
